Date,Price,Open,High,Low,Vol.,Change %
19-Mar-14,1449.80,1459.55,1468.35,1444.35,-,-0.006600
18-Mar-14,1459.40,1468.35,1470.15,1449.65,-,-0.006600
17-Mar-14,1469.15,1473.50,1483.10,1465.75,-,-0.002900
16-Mar-14,1473.40,1469.25,1474.65,1468.85,-,0.001900
14-Mar-14,1470.60,1478.75,1486.90,1468.05,-,-0.005800
13-Mar-14,1479.15,1476.20,1483.25,1469.85,-,0.002100
12-Mar-14,1476.10,1468.10,1481.60,1458.30,-,0.005700
11-Mar-14,1467.70,1478.45,1485.60,1456.55,-,-0.007500
10-Mar-14,1478.75,1478.70,1482.15,1466.10,-,0.000100
9-Mar-14,1478.65,1482.45,1483.10,1478.50,-,-0.003300
7-Mar-14,1483.55,1484.10,1488.25,1473.15,-,-0.000500
6-Mar-14,1484.30,1475.15,1488.40,1474.15,-,0.006400
5-Mar-14,1474.80,1458.60,1488.95,1456.65,-,0.011100
4-Mar-14,1458.55,1458.45,1467.60,1442.85,-,0.000000
3-Mar-14,1458.55,1452.80,1464.30,1449.00,-,0.004200
2-Mar-14,1452.45,1448.50,1453.60,1448.25,-,0.004500
28-Feb-14,1445.90,1451.90,1456.65,1441.90,-,-0.004100
27-Feb-14,1451.85,1429.45,1455.35,1420.60,-,0.015600
26-Feb-14,1429.50,1439.70,1441.35,1425.30,-,-0.007000
25-Feb-14,1439.55,1435.00,1444.85,1425.55,-,0.003100
24-Feb-14,1435.05,1427.30,1443.45,1420.25,-,0.005400
23-Feb-14,1427.35,1428.90,1429.00,1427.30,-,-0.001000
21-Feb-14,1428.80,1417.10,1430.80,1415.50,-,0.008500
20-Feb-14,1416.80,1414.95,1419.40,1406.85,-,0.001100
19-Feb-14,1415.20,1423.25,1429.65,1412.40,-,-0.005100
18-Feb-14,1422.50,1431.00,1432.55,1416.05,-,-0.006100
17-Feb-14,1431.20,1431.55,1433.95,1423.80,-,-0.000100
16-Feb-14,1431.30,1429.25,1431.95,1427.80,-,0.002400
14-Feb-14,1427.90,1414.70,1431.20,1412.25,-,0.009500
13-Feb-14,1414.45,1405.00,1418.30,1394.60,-,0.006800
12-Feb-14,1404.95,1387.55,1408.75,1385.10,-,0.012700
11-Feb-14,1387.35,1385.60,1394.40,1380.20,-,0.001000
10-Feb-14,1386.00,1383.65,1394.55,1379.10,-,0.001300
9-Feb-14,1384.15,1383.05,1386.70,1382.95,-,-0.000100
7-Feb-14,1384.30,1376.80,1392.15,1374.75,-,0.005500
6-Feb-14,1376.75,1383.35,1385.65,1370.65,-,-0.004800
5-Feb-14,1383.45,1375.65,1395.10,1373.65,-,0.005700
4-Feb-14,1375.65,1387.15,1387.15,1361.60,-,-0.008300
3-Feb-14,1387.10,1376.40,1397.80,1374.75,-,0.007700
2-Feb-14,1376.50,1376.40,1377.90,1375.85,-,-0.001000
31-Jan-14,1377.90,1385.40,1387.95,1364.45,-,-0.005300
30-Jan-14,1385.30,1415.90,1416.15,1380.20,-,-0.021700
29-Jan-14,1416.10,1410.90,1421.30,1404.80,-,0.003400
28-Jan-14,1411.30,1418.20,1424.70,1405.10,-,-0.004900
27-Jan-14,1418.30,1439.35,1439.70,1407.75,-,-0.014800
26-Jan-14,1439.65,1431.00,1439.65,1428.65,-,0.006600
24-Jan-14,1430.15,1460.55,1462.15,1423.35,-,-0.020900
23-Jan-14,1460.65,1459.65,1470.45,1442.45,-,0.000500
22-Jan-14,1459.90,1455.60,1465.55,1447.70,-,0.003000
21-Jan-14,1455.55,1465.65,1467.70,1437.35,-,-0.007000
20-Jan-14,1465.80,1458.85,1472.65,1457.60,-,0.004800
19-Jan-14,1458.80,1456.75,1462.80,1455.70,-,0.002700
17-Jan-14,1454.85,1432.40,1457.25,1431.60,-,0.015800
16-Jan-14,1432.20,1430.60,1435.60,1418.50,-,0.001400
15-Jan-14,1430.20,1429.75,1431.90,1415.20,-,0.000400
14-Jan-14,1429.65,1446.65,1447.60,1426.50,-,-0.011700
13-Jan-14,1446.55,1438.50,1446.85,1433.10,-,0.005600
12-Jan-14,1438.55,1436.25,1439.50,1436.25,-,0.000800
10-Jan-14,1437.35,1418.80,1437.75,1416.85,-,0.013000
9-Jan-14,1418.90,1416.95,1427.45,1412.95,-,0.001600
8-Jan-14,1416.65,1413.60,1419.80,1403.95,-,0.002100
7-Jan-14,1413.65,1415.85,1420.90,1408.25,-,-0.001400
6-Jan-14,1415.60,1406.85,1423.65,1395.70,-,0.005900
5-Jan-14,1407.30,1414.20,1415.35,1407.30,-,-0.003600
3-Jan-14,1412.45,1402.25,1417.95,1402.15,-,0.007200
2-Jan-14,1402.30,1377.10,1409.25,1373.15,-,0.018300
1-Jan-14,1377.05,1371.00,1377.40,1370.85,-,0.004400
31-Dec-13,1371.00,1362.70,1375.80,1352.20,-,0.006000
30-Dec-13,1362.85,1377.85,1378.45,1357.65,-,-0.010500
29-Dec-13,1377.25,1378.40,1380.15,1376.95,-,0.001500
27-Dec-13,1375.20,1355.95,1377.40,1352.75,-,0.014300
