"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2018","107.525","105.475","108.100","104.975","50.27K","1.75%"
"May 09, 2018","105.675","106.625","107.100","105.350","46.86K","-0.59%"
"May 08, 2018","106.300","105.450","106.925","104.600","40.43K","1.07%"
"May 07, 2018","105.175","106.050","106.275","104.850","30.13K","-0.83%"
"May 04, 2018","106.050","107.000","107.100","105.825","24.13K","-0.45%"
"May 03, 2018","106.525","105.000","107.575","104.500","39.29K","1.60%"
"May 02, 2018","104.850","106.200","106.825","104.350","34.19K","-0.92%"
"May 01, 2018","105.825","106.300","106.400","103.825","42.07K","-14.48%"
"Apr 30, 2018","123.750","124.675","125.150","123.750","0.25K","-0.56%"
"Apr 27, 2018","124.450","122.550","124.725","122.500","1.61K","1.57%"
"Apr 26, 2018","122.525","121.975","122.625","121.975","1.59K","0.49%"
"Apr 25, 2018","121.925","121.300","122.050","121.300","1.71K","0.68%"
"Apr 24, 2018","121.100","121.500","122.200","121.000","2.46K","-0.51%"
"Apr 23, 2018","121.725","119.825","121.800","119.625","2.26K","1.99%"
"Apr 20, 2018","119.350","118.200","119.425","117.150","2.25K","1.32%"
"Apr 19, 2018","117.800","119.050","119.500","117.600","4.92K","-0.99%"
"Apr 18, 2018","118.975","118.575","119.075","118.475","2.26K","0.78%"
"Apr 17, 2018","118.050","117.375","118.700","117.375","2.05K","0.77%"
"Apr 16, 2018","117.150","117.725","118.400","117.100","2.54K","0.51%"
"Apr 13, 2018","116.550","116.250","117.075","115.850","2.52K","0.69%"
"Apr 12, 2018","115.750","113.850","116.175","113.850","3.20K","1.98%"
"Apr 11, 2018","113.500","113.250","114.000","113.075","2.68K","0.62%"
"Apr 10, 2018","112.800","112.650","113.675","112.150","2.63K","0.69%"
"Apr 09, 2018","112.025","112.975","113.975","111.975","4.63K","-0.18%"
"Apr 06, 2018","112.225","114.000","114.150","111.950","8.58K","-1.82%"
"Apr 05, 2018","114.300","113.700","114.450","113.300","9.46K","1.13%"
"Apr 04, 2018","113.025","111.600","113.900","110.100","12.13K","0.94%"
"Apr 03, 2018","111.975","112.650","113.350","111.775","9.61K","-0.38%"
"Apr 02, 2018","112.400","113.775","114.800","112.200","8.97K","-1.19%"
"Mar 29, 2018","113.750","116.200","116.975","113.150","10.93K","-1.94%"
"Mar 28, 2018","116.000","115.450","116.425","114.825","8.79K","0.50%"
"Mar 27, 2018","115.425","115.400","116.575","115.000","9.25K","0.22%"
"Mar 26, 2018","115.175","116.225","117.200","114.800","9.45K","-0.75%"
"Mar 23, 2018","116.050","118.425","118.425","115.750","13.26K","-1.78%"
"Mar 22, 2018","118.150","117.950","118.425","117.450","13.62K","0.38%"
"Mar 21, 2018","117.700","119.600","119.750","117.150","23.69K","-1.57%"
"Mar 20, 2018","119.575","120.500","120.825","119.325","20.73K","-0.54%"
"Mar 19, 2018","120.225","121.750","121.800","120.125","21.52K","-0.85%"
"Mar 16, 2018","121.250","121.925","122.150","120.875","21.81K","-0.49%"
"Mar 15, 2018","121.850","123.075","123.825","121.125","29.17K","-0.93%"
"Mar 14, 2018","123.000","123.000","124.300","122.775","34.27K","0.90%"
"Mar 13, 2018","121.900","121.750","122.575","120.750","37.72K","0.29%"
"Mar 12, 2018","121.550","123.300","123.475","121.275","37.16K","-1.28%"
"Mar 09, 2018","123.125","122.125","123.525","121.125","43.31K","1.11%"
"Mar 08, 2018","121.775","123.225","123.300","120.900","45.59K","-0.98%"
"Mar 07, 2018","122.975","123.000","123.675","122.600","29.37K","0.12%"
"Mar 06, 2018","122.825","123.325","124.825","122.450","33.90K","-0.32%"
"Mar 05, 2018","123.225","122.350","123.675","122.100","26.79K","0.86%"
"Mar 02, 2018","122.175","123.350","123.800","121.900","31.14K","-0.93%"
"Mar 01, 2018","123.325","123.650","123.900","122.325","33.81K","-3.27%"
"Feb 28, 2018","127.500","128.350","129.775","127.500","0.83K","-0.41%"
"Feb 27, 2018","128.025","127.600","128.700","127.525","1.37K","0.49%"
"Feb 26, 2018","127.400","127.775","127.925","126.650","1.76K","-0.47%"
"Feb 23, 2018","128.000","128.450","128.575","127.325","1.50K","-0.27%"
"Feb 22, 2018","128.350","129.000","129.150","128.075","1.67K","-1.00%"
"Feb 21, 2018","129.650","130.300","130.300","127.300","6.37K","-0.50%"
"Feb 20, 2018","130.300","130.525","130.525","129.775","2.63K","0.15%"
"Feb 16, 2018","130.100","129.225","130.325","128.725","4.44K","0.64%"
"Feb 15, 2018","129.275","127.875","129.425","127.525","2.65K","1.27%"
"Feb 14, 2018","127.650","127.100","128.000","127.050","2.08K","0.65%"
"Feb 13, 2018","126.825","127.350","127.925","126.725","1.86K","-0.24%"
"Feb 12, 2018","127.125","126.525","127.250","126.125","3.03K","0.47%"
"Feb 09, 2018","126.525","125.725","127.000","125.425","4.30K","0.60%"
"Feb 08, 2018","125.775","125.775","127.325","125.425","2.55K","0.14%"
"Feb 07, 2018","125.600","125.850","126.575","125.550","2.74K","-0.02%"
"Feb 06, 2018","125.625","125.375","126.425","125.125","2.91K","-0.40%"
"Feb 05, 2018","126.125","126.300","127.900","125.900","6.10K","-0.57%"
"Feb 02, 2018","126.850","126.425","127.550","125.750","6.66K","0.34%"
"Feb 01, 2018","126.425","124.600","126.825","124.250","12.16K","2.08%"
"Jan 31, 2018","123.850","124.825","124.950","123.675","9.38K","-0.78%"
"Jan 30, 2018","124.825","125.400","125.625","123.550","12.26K","-0.70%"
"Jan 29, 2018","125.700","126.025","126.750","125.450","11.15K","0.88%"
"Jan 26, 2018","124.600","122.425","125.000","122.225","10.58K","1.74%"
